T4TPlayer,170.11053
NicePlayer,165.96991
TolerantPlayer,164.59648
Agarwal_Anusha_Player,164.20499
NastyPlayer,141.09937
RandomPlayer,135.78831
FreakyPlayer,135.24641

TolerantPlayer,169.52235
Agarwal_Anusha_Player,166.94351
T4TPlayer,165.86517
NicePlayer,147.74559
RandomPlayer,146.92743
NastyPlayer,140.90044
FreakyPlayer,133.2968

Agarwal_Anusha_Player,169.56961
TolerantPlayer,166.24419
T4TPlayer,163.60257
NicePlayer,157.44646
NastyPlayer,150.55727
FreakyPlayer,149.90173
RandomPlayer,141.4284

T4TPlayer,173.19733
Agarwal_Anusha_Player,172.84662
TolerantPlayer,165.80957
RandomPlayer,156.08188
NicePlayer,155.08093
FreakyPlayer,150.88391
NastyPlayer,150.12177

Agarwal_Anusha_Player,178.65442
T4TPlayer,171.33348
TolerantPlayer,170.17172
FreakyPlayer,160.85632
NicePlayer,159.28787
NastyPlayer,142.8683
RandomPlayer,136.64838

TolerantPlayer,172.04059
Agarwal_Anusha_Player,168.79263
T4TPlayer,167.68396
NicePlayer,155.55913
FreakyPlayer,148.19255
RandomPlayer,146.84326
NastyPlayer,144.83827

TolerantPlayer,171.57216
Agarwal_Anusha_Player,164.92186
T4TPlayer,163.92314
NicePlayer,161.75928
FreakyPlayer,148.39268
RandomPlayer,141.88864
NastyPlayer,139.99556

T4TPlayer,168.25504
TolerantPlayer,167.03716
Agarwal_Anusha_Player,158.99033
NicePlayer,152.30896
FreakyPlayer,147.85266
RandomPlayer,140.37515
NastyPlayer,133.53137

Agarwal_Anusha_Player,171.86511
TolerantPlayer,168.26881
T4TPlayer,166.55627
NicePlayer,156.93726
FreakyPlayer,146.81747
RandomPlayer,141.82866
NastyPlayer,140.71988

TolerantPlayer,169.53436
Agarwal_Anusha_Player,161.23404
NicePlayer,158.96217
T4TPlayer,158.439
NastyPlayer,139.9836
RandomPlayer,136.68571
FreakyPlayer,134.44237

Agarwal_Anusha_Player,176.79677
T4TPlayer,164.62985
TolerantPlayer,162.64233
RandomPlayer,154.47339
NicePlayer,150.0906
FreakyPlayer,149.5124
NastyPlayer,132.8445

Agarwal_Anusha_Player,171.96187
TolerantPlayer,163.97357
T4TPlayer,151.3076
NicePlayer,150.4354
FreakyPlayer,146.34888
NastyPlayer,144.77466
RandomPlayer,139.9396

TolerantPlayer,175.62704
Agarwal_Anusha_Player,169.24014
T4TPlayer,162.34926
RandomPlayer,149.2023
NicePlayer,147.99667
FreakyPlayer,144.97148
NastyPlayer,139.0177

Agarwal_Anusha_Player,174.46259
T4TPlayer,171.99365
TolerantPlayer,167.49393
NicePlayer,158.68336
RandomPlayer,149.84088
FreakyPlayer,142.58588
NastyPlayer,141.21805

T4TPlayer,168.51123
Agarwal_Anusha_Player,164.7249
TolerantPlayer,161.28654
FreakyPlayer,154.30617
RandomPlayer,150.89584
NicePlayer,147.44579
NastyPlayer,141.05664

T4TPlayer,165.34424
Agarwal_Anusha_Player,158.31882
TolerantPlayer,154.76624
RandomPlayer,148.14638
NicePlayer,147.44122
NastyPlayer,143.93318
FreakyPlayer,138.69505

Agarwal_Anusha_Player,168.46658
TolerantPlayer,161.13556
T4TPlayer,157.59897
RandomPlayer,153.88493
NicePlayer,152.07101
FreakyPlayer,146.95808
NastyPlayer,142.94522

Agarwal_Anusha_Player,166.54404
T4TPlayer,165.43509
TolerantPlayer,157.85326
NicePlayer,143.09448
NastyPlayer,142.95157
FreakyPlayer,142.20323
RandomPlayer,140.20303

Agarwal_Anusha_Player,171.75737
TolerantPlayer,166.82022
T4TPlayer,162.79749
RandomPlayer,152.95885
NicePlayer,143.32513
FreakyPlayer,142.09581
NastyPlayer,136.54791

TolerantPlayer,167.57361
Agarwal_Anusha_Player,167.57346
T4TPlayer,167.36038
NicePlayer,159.57962
RandomPlayer,149.11395
FreakyPlayer,147.59682
NastyPlayer,133.39417

Agarwal_Anusha_Player,172.7748
T4TPlayer,163.66277
NicePlayer,159.28894
TolerantPlayer,159.17772
RandomPlayer,155.78786
FreakyPlayer,153.76671
NastyPlayer,146.20216

T4TPlayer,172.21089
TolerantPlayer,167.78926
NicePlayer,163.62753
Agarwal_Anusha_Player,162.39453
RandomPlayer,161.12009
NastyPlayer,141.13936
FreakyPlayer,131.85477

Agarwal_Anusha_Player,175.26474
T4TPlayer,174.78152
TolerantPlayer,174.22546
FreakyPlayer,151.72015
RandomPlayer,150.14812
NastyPlayer,149.54646
NicePlayer,146.69403

Agarwal_Anusha_Player,166.54745
TolerantPlayer,164.38934
T4TPlayer,157.56682
RandomPlayer,150.07967
NicePlayer,146.56418
NastyPlayer,141.7059
FreakyPlayer,129.94559

Agarwal_Anusha_Player,173.68076
NicePlayer,157.61102
T4TPlayer,156.76303
TolerantPlayer,154.19977
RandomPlayer,148.76515
NastyPlayer,140.16716
FreakyPlayer,128.09895

Agarwal_Anusha_Player,164.34837
NicePlayer,159.34702
TolerantPlayer,158.13582
T4TPlayer,155.22046
RandomPlayer,144.83394
NastyPlayer,139.21167
FreakyPlayer,133.62639

T4TPlayer,165.60785
Agarwal_Anusha_Player,165.56601
TolerantPlayer,159.23158
RandomPlayer,151.75009
NastyPlayer,145.42587
NicePlayer,143.83112
FreakyPlayer,142.5215

T4TPlayer,171.99313
Agarwal_Anusha_Player,171.40045
TolerantPlayer,164.11462
RandomPlayer,156.09892
FreakyPlayer,155.76059
NicePlayer,154.37296
NastyPlayer,141.14536

Agarwal_Anusha_Player,165.63463
TolerantPlayer,165.35193
T4TPlayer,164.28108
NicePlayer,147.55618
RandomPlayer,141.17499
FreakyPlayer,135.80487
NastyPlayer,133.27321

Agarwal_Anusha_Player,168.88446
TolerantPlayer,162.16896
RandomPlayer,159.30345
T4TPlayer,158.95605
NicePlayer,154.56499
NastyPlayer,142.4619
FreakyPlayer,138.93068

Agarwal_Anusha_Player,174.24536
TolerantPlayer,173.9113
T4TPlayer,164.05154
FreakyPlayer,156.80295
NicePlayer,151.27475
NastyPlayer,151.0276
RandomPlayer,145.12369

TolerantPlayer,171.06526
Agarwal_Anusha_Player,162.53625
T4TPlayer,158.67484
FreakyPlayer,148.29553
NicePlayer,145.47754
RandomPlayer,139.48508
NastyPlayer,138.00327

Agarwal_Anusha_Player,172.84029
T4TPlayer,171.93617
TolerantPlayer,162.4099
NicePlayer,159.4628
FreakyPlayer,153.09122
RandomPlayer,152.54057
NastyPlayer,138.99802

TolerantPlayer,168.74992
Agarwal_Anusha_Player,166.46783
T4TPlayer,165.17323
NicePlayer,159.64142
RandomPlayer,148.82341
NastyPlayer,145.56258
FreakyPlayer,131.7892

T4TPlayer,169.33762
Agarwal_Anusha_Player,166.16248
TolerantPlayer,164.07303
FreakyPlayer,146.71425
NastyPlayer,143.62192
NicePlayer,140.49219
RandomPlayer,133.93558

TolerantPlayer,160.93901
Agarwal_Anusha_Player,160.15068
T4TPlayer,157.92775
NicePlayer,149.68471
NastyPlayer,141.80243
RandomPlayer,133.7938
FreakyPlayer,125.498795

NicePlayer,163.47974
Agarwal_Anusha_Player,163.42807
TolerantPlayer,163.3768
T4TPlayer,162.71353
NastyPlayer,148.72899
FreakyPlayer,141.84721
RandomPlayer,134.55531

Agarwal_Anusha_Player,173.89894
TolerantPlayer,170.01866
T4TPlayer,159.40176
FreakyPlayer,146.74413
NastyPlayer,141.702
RandomPlayer,139.59673
NicePlayer,139.59169

Agarwal_Anusha_Player,172.07355
TolerantPlayer,167.61223
FreakyPlayer,157.25397
NicePlayer,155.5096
T4TPlayer,153.9217
RandomPlayer,141.61345
NastyPlayer,128.32349

TolerantPlayer,163.52673
Agarwal_Anusha_Player,159.66032
T4TPlayer,156.3695
RandomPlayer,147.52002
NicePlayer,145.03566
NastyPlayer,138.23352
FreakyPlayer,132.0136

Agarwal_Anusha_Player,172.55722
TolerantPlayer,167.8331
RandomPlayer,159.69952
T4TPlayer,158.6897
NastyPlayer,150.02753
NicePlayer,148.8481
FreakyPlayer,134.99535

T4TPlayer,172.14001
Agarwal_Anusha_Player,161.8197
TolerantPlayer,160.67567
NicePlayer,154.54199
FreakyPlayer,148.60394
NastyPlayer,143.6032
RandomPlayer,134.11633

Agarwal_Anusha_Player,166.10384
TolerantPlayer,163.40472
T4TPlayer,161.77036
NicePlayer,144.64316
RandomPlayer,141.53935
FreakyPlayer,138.43953
NastyPlayer,134.46089

TolerantPlayer,170.2565
Agarwal_Anusha_Player,165.9769
T4TPlayer,157.21188
NicePlayer,155.39603
FreakyPlayer,152.05577
RandomPlayer,151.38136
NastyPlayer,142.03503

Agarwal_Anusha_Player,174.4072
TolerantPlayer,173.51114
T4TPlayer,173.38882
FreakyPlayer,160.61821
NicePlayer,156.63132
RandomPlayer,150.18837
NastyPlayer,145.07639

TolerantPlayer,169.08661
T4TPlayer,162.14055
Agarwal_Anusha_Player,161.76682
NicePlayer,155.42525
RandomPlayer,149.8575
NastyPlayer,143.17816
FreakyPlayer,139.21307

Agarwal_Anusha_Player,167.72177
TolerantPlayer,162.47372
T4TPlayer,160.83525
NicePlayer,151.72507
NastyPlayer,142.40245
RandomPlayer,141.37604
FreakyPlayer,138.85472

Agarwal_Anusha_Player,176.61252
TolerantPlayer,165.05623
T4TPlayer,163.72212
FreakyPlayer,157.17296
NicePlayer,152.61418
RandomPlayer,142.31596
NastyPlayer,131.76012

Agarwal_Anusha_Player,172.19977
T4TPlayer,169.20316
TolerantPlayer,164.05348
FreakyPlayer,156.7126
NicePlayer,148.94101
RandomPlayer,138.33546
NastyPlayer,130.58437

Agarwal_Anusha_Player,172.06857
TolerantPlayer,168.25455
NicePlayer,159.60901
T4TPlayer,154.44095
RandomPlayer,148.9257
FreakyPlayer,140.64244
NastyPlayer,139.47993