T4TPlayer,328.0111
GrimTriggerPlayer,326.7035
SoftT4TPlayer,325.86234
WinStayLoseShift,321.5827
HardT4TPlayer,321.55078
TolerantPlayer,317.4497
NicePlayer,293.95422
FreakyPlayer,289.1998
NastyPlayer,263.85306
RandomPlayer,241.5732

GrimTriggerPlayer,330.90588
HardT4TPlayer,329.0905
TolerantPlayer,327.55942
SoftT4TPlayer,325.53314
T4TPlayer,322.25903
WinStayLoseShift,314.293
NicePlayer,310.02365
FreakyPlayer,284.8479
RandomPlayer,257.14322
NastyPlayer,253.96713

GrimTriggerPlayer,327.51147
TolerantPlayer,324.86096
HardT4TPlayer,322.57062
T4TPlayer,315.43167
WinStayLoseShift,314.63098
SoftT4TPlayer,313.33023
NicePlayer,302.88818
FreakyPlayer,260.32562
NastyPlayer,258.86163
RandomPlayer,250.78146

GrimTriggerPlayer,328.51727
HardT4TPlayer,326.14587
TolerantPlayer,321.6026
SoftT4TPlayer,321.17947
WinStayLoseShift,315.9718
T4TPlayer,314.86194
NicePlayer,308.66144
FreakyPlayer,269.85416
NastyPlayer,257.6628
RandomPlayer,255.24129

GrimTriggerPlayer,329.9544
HardT4TPlayer,322.60815
TolerantPlayer,317.39008
T4TPlayer,316.76538
WinStayLoseShift,312.60553
SoftT4TPlayer,311.181
NicePlayer,308.92792
FreakyPlayer,277.1607
NastyPlayer,258.07428
RandomPlayer,227.27634

GrimTriggerPlayer,333.09094
HardT4TPlayer,327.37982
TolerantPlayer,323.08575
SoftT4TPlayer,317.22607
T4TPlayer,311.02112
WinStayLoseShift,304.78662
NicePlayer,292.85718
FreakyPlayer,281.6621
NastyPlayer,253.5529
RandomPlayer,248.24644

GrimTriggerPlayer,337.1834
HardT4TPlayer,334.86908
T4TPlayer,323.74866
SoftT4TPlayer,321.44135
TolerantPlayer,317.30502
WinStayLoseShift,308.02826
NicePlayer,304.22177
FreakyPlayer,297.75677
NastyPlayer,269.97372
RandomPlayer,238.22859

HardT4TPlayer,321.68372
WinStayLoseShift,320.08447
GrimTriggerPlayer,318.61224
TolerantPlayer,318.04053
SoftT4TPlayer,314.54486
T4TPlayer,311.54224
NicePlayer,307.09308
FreakyPlayer,261.87457
NastyPlayer,250.93538
RandomPlayer,245.58583

HardT4TPlayer,337.02512
TolerantPlayer,329.72394
T4TPlayer,325.49744
GrimTriggerPlayer,325.2547
SoftT4TPlayer,314.21072
WinStayLoseShift,306.01715
NicePlayer,296.58252
FreakyPlayer,285.59906
RandomPlayer,257.8831
NastyPlayer,246.62613

GrimTriggerPlayer,334.6822
TolerantPlayer,330.299
T4TPlayer,322.53012
HardT4TPlayer,321.09155
SoftT4TPlayer,319.79736
WinStayLoseShift,313.65643
NicePlayer,298.92993
FreakyPlayer,286.6079
NastyPlayer,254.84422
RandomPlayer,254.74571

GrimTriggerPlayer,328.00995
TolerantPlayer,320.93933
T4TPlayer,316.86008
WinStayLoseShift,311.75403
SoftT4TPlayer,310.56952
HardT4TPlayer,308.9226
NicePlayer,305.82358
FreakyPlayer,275.40836
NastyPlayer,251.02455
RandomPlayer,241.05766

GrimTriggerPlayer,342.0133
HardT4TPlayer,322.97977
WinStayLoseShift,322.86514
SoftT4TPlayer,321.59076
T4TPlayer,321.20795
TolerantPlayer,320.56006
NicePlayer,312.27246
FreakyPlayer,285.5774
NastyPlayer,251.05873
RandomPlayer,247.26218

SoftT4TPlayer,324.02155
TolerantPlayer,323.58893
HardT4TPlayer,320.98682
GrimTriggerPlayer,319.03522
T4TPlayer,317.6794
WinStayLoseShift,313.6554
NicePlayer,295.26294
FreakyPlayer,274.62018
RandomPlayer,254.5616
NastyPlayer,244.58904

HardT4TPlayer,325.51816
SoftT4TPlayer,318.34204
WinStayLoseShift,318.09918
T4TPlayer,317.37866
TolerantPlayer,316.90747
GrimTriggerPlayer,315.93054
NicePlayer,300.82367
FreakyPlayer,264.83713
NastyPlayer,261.59442
RandomPlayer,241.19292

GrimTriggerPlayer,335.55804
T4TPlayer,332.9454
SoftT4TPlayer,330.6037
TolerantPlayer,330.5616
HardT4TPlayer,324.47345
WinStayLoseShift,316.25836
NicePlayer,307.6032
FreakyPlayer,296.86807
NastyPlayer,264.05792
RandomPlayer,247.13058

HardT4TPlayer,332.28326
T4TPlayer,324.65936
WinStayLoseShift,318.6296
GrimTriggerPlayer,318.36877
TolerantPlayer,317.89215
SoftT4TPlayer,310.46042
NicePlayer,306.91678
FreakyPlayer,279.85968
RandomPlayer,263.06253
NastyPlayer,254.28577

GrimTriggerPlayer,332.93573
TolerantPlayer,329.5902
T4TPlayer,323.745
HardT4TPlayer,322.85715
SoftT4TPlayer,320.86102
NicePlayer,316.72003
WinStayLoseShift,308.63727
FreakyPlayer,284.22223
NastyPlayer,255.41765
RandomPlayer,252.39899

GrimTriggerPlayer,336.10327
TolerantPlayer,332.01373
T4TPlayer,325.31168
HardT4TPlayer,322.16614
SoftT4TPlayer,319.2086
WinStayLoseShift,316.96378
NicePlayer,301.74167
FreakyPlayer,287.66235
NastyPlayer,268.94702
RandomPlayer,249.76909

TolerantPlayer,330.1845
GrimTriggerPlayer,326.6776
SoftT4TPlayer,319.99554
HardT4TPlayer,317.77393
T4TPlayer,311.39398
WinStayLoseShift,308.07092
NicePlayer,303.3854
NastyPlayer,266.33145
FreakyPlayer,259.58615
RandomPlayer,249.72308

GrimTriggerPlayer,327.31232
SoftT4TPlayer,325.82
TolerantPlayer,321.7373
HardT4TPlayer,320.99823
T4TPlayer,318.21393
NicePlayer,308.47516
WinStayLoseShift,305.859
NastyPlayer,267.9211
FreakyPlayer,262.00247
RandomPlayer,240.40627

TolerantPlayer,334.83218
GrimTriggerPlayer,333.76025
HardT4TPlayer,332.15033
T4TPlayer,331.64395
SoftT4TPlayer,327.59113
WinStayLoseShift,312.35995
FreakyPlayer,298.2362
NicePlayer,297.61255
NastyPlayer,263.46423
RandomPlayer,262.28476

TolerantPlayer,329.00745
T4TPlayer,325.33484
GrimTriggerPlayer,322.33722
SoftT4TPlayer,319.6916
HardT4TPlayer,316.22925
NicePlayer,316.16113
WinStayLoseShift,315.85724
FreakyPlayer,262.79446
RandomPlayer,253.40646
NastyPlayer,252.83562

GrimTriggerPlayer,332.10004
TolerantPlayer,329.02582
HardT4TPlayer,328.02823
SoftT4TPlayer,323.82574
WinStayLoseShift,319.7412
T4TPlayer,318.7002
FreakyPlayer,299.1839
NicePlayer,289.7115
NastyPlayer,260.07098
RandomPlayer,249.2515

GrimTriggerPlayer,341.1114
HardT4TPlayer,339.66592
TolerantPlayer,338.86545
T4TPlayer,326.98102
SoftT4TPlayer,323.59906
WinStayLoseShift,318.17352
NicePlayer,307.85327
FreakyPlayer,299.58035
NastyPlayer,267.29544
RandomPlayer,262.57565

GrimTriggerPlayer,335.1637
TolerantPlayer,326.39386
HardT4TPlayer,325.62946
WinStayLoseShift,311.94714
SoftT4TPlayer,311.47296
T4TPlayer,304.5821
NicePlayer,299.205
FreakyPlayer,269.8832
NastyPlayer,250.24106
RandomPlayer,237.83902

GrimTriggerPlayer,334.95114
HardT4TPlayer,328.09845
T4TPlayer,324.85513
TolerantPlayer,321.07568
WinStayLoseShift,316.9882
SoftT4TPlayer,315.82898
FreakyPlayer,299.14987
NicePlayer,295.31406
NastyPlayer,264.3301
RandomPlayer,241.86067

GrimTriggerPlayer,339.03192
T4TPlayer,326.34027
HardT4TPlayer,323.5605
TolerantPlayer,319.89227
WinStayLoseShift,306.61914
SoftT4TPlayer,305.86212
NicePlayer,297.1656
FreakyPlayer,285.50702
RandomPlayer,252.58109
NastyPlayer,252.53687

GrimTriggerPlayer,345.44586
T4TPlayer,333.80197
HardT4TPlayer,330.35986
SoftT4TPlayer,329.11392
TolerantPlayer,323.39386
WinStayLoseShift,312.1704
NicePlayer,301.68378
FreakyPlayer,296.11978
NastyPlayer,248.65659
RandomPlayer,247.58984

GrimTriggerPlayer,340.36948
HardT4TPlayer,323.63098
SoftT4TPlayer,321.09384
TolerantPlayer,320.48047
T4TPlayer,316.40485
NicePlayer,310.91415
WinStayLoseShift,302.51196
FreakyPlayer,273.64392
NastyPlayer,255.93834
RandomPlayer,253.05154

GrimTriggerPlayer,338.28223
HardT4TPlayer,332.54062
T4TPlayer,321.68646
TolerantPlayer,321.0971
SoftT4TPlayer,320.19992
WinStayLoseShift,313.83163
FreakyPlayer,299.5964
NicePlayer,294.22638
RandomPlayer,255.66231
NastyPlayer,248.47487

GrimTriggerPlayer,334.73312
SoftT4TPlayer,333.3349
HardT4TPlayer,333.248
T4TPlayer,326.92117
TolerantPlayer,326.73572
WinStayLoseShift,324.14594
FreakyPlayer,304.01883
NicePlayer,301.35852
NastyPlayer,269.05908
RandomPlayer,239.5501

GrimTriggerPlayer,331.64343
T4TPlayer,325.67773
TolerantPlayer,324.4866
HardT4TPlayer,321.22797
SoftT4TPlayer,315.3651
WinStayLoseShift,312.08026
NicePlayer,298.5319
FreakyPlayer,268.9912
NastyPlayer,268.65442
RandomPlayer,258.97845

TolerantPlayer,324.5858
SoftT4TPlayer,322.16742
GrimTriggerPlayer,321.51013
T4TPlayer,317.1009
HardT4TPlayer,314.09143
WinStayLoseShift,312.75208
NicePlayer,305.4605
FreakyPlayer,265.92838
NastyPlayer,263.58002
RandomPlayer,241.97066

HardT4TPlayer,335.7295
GrimTriggerPlayer,333.47696
TolerantPlayer,328.4229
T4TPlayer,323.2314
WinStayLoseShift,322.50797
SoftT4TPlayer,320.9579
NicePlayer,295.0406
FreakyPlayer,283.8983
NastyPlayer,263.58914
RandomPlayer,245.75809

TolerantPlayer,334.35297
GrimTriggerPlayer,331.5246
T4TPlayer,328.11218
SoftT4TPlayer,326.88046
HardT4TPlayer,325.11462
NicePlayer,311.33936
WinStayLoseShift,310.786
FreakyPlayer,272.70328
RandomPlayer,261.70703
NastyPlayer,254.10776

HardT4TPlayer,328.70428
GrimTriggerPlayer,327.1807
TolerantPlayer,326.21832
T4TPlayer,325.78345
WinStayLoseShift,311.13455
NicePlayer,308.46997
SoftT4TPlayer,306.91583
FreakyPlayer,281.41342
NastyPlayer,253.21185
RandomPlayer,238.69579

HardT4TPlayer,333.25092
T4TPlayer,332.4591
GrimTriggerPlayer,331.6319
TolerantPlayer,316.097
SoftT4TPlayer,315.44885
WinStayLoseShift,308.77203
NicePlayer,306.50156
FreakyPlayer,296.84833
NastyPlayer,256.6513
RandomPlayer,245.72209

HardT4TPlayer,335.58807
GrimTriggerPlayer,329.447
T4TPlayer,324.289
TolerantPlayer,321.21548
SoftT4TPlayer,317.64398
WinStayLoseShift,309.18552
NicePlayer,309.1336
FreakyPlayer,292.75916
RandomPlayer,255.38875
NastyPlayer,250.55782

TolerantPlayer,329.64114
GrimTriggerPlayer,325.57397
SoftT4TPlayer,322.62762
HardT4TPlayer,322.15924
T4TPlayer,321.44815
WinStayLoseShift,309.4796
NicePlayer,299.99646
FreakyPlayer,277.3399
NastyPlayer,254.73822
RandomPlayer,250.60188

GrimTriggerPlayer,335.48517
HardT4TPlayer,326.8767
TolerantPlayer,323.21457
SoftT4TPlayer,322.78296
T4TPlayer,314.1004
WinStayLoseShift,311.69064
NicePlayer,303.05463
FreakyPlayer,280.8282
NastyPlayer,264.42755
RandomPlayer,245.0304

GrimTriggerPlayer,332.06287
TolerantPlayer,324.91348
T4TPlayer,321.70984
HardT4TPlayer,316.82773
SoftT4TPlayer,315.18683
WinStayLoseShift,311.90845
NicePlayer,304.0229
FreakyPlayer,272.66058
NastyPlayer,252.9167
RandomPlayer,242.0746

GrimTriggerPlayer,323.9153
HardT4TPlayer,323.15277
T4TPlayer,321.19885
TolerantPlayer,316.964
NicePlayer,312.0183
SoftT4TPlayer,308.63037
WinStayLoseShift,304.68494
FreakyPlayer,277.43362
NastyPlayer,261.77597
RandomPlayer,249.71722

HardT4TPlayer,327.62637
TolerantPlayer,323.25806
GrimTriggerPlayer,319.70142
SoftT4TPlayer,318.8914
T4TPlayer,312.2613
WinStayLoseShift,308.61334
NicePlayer,302.32965
FreakyPlayer,260.27606
RandomPlayer,256.27753
NastyPlayer,247.88573

GrimTriggerPlayer,324.0833
WinStayLoseShift,323.91925
T4TPlayer,321.5514
TolerantPlayer,321.02438
HardT4TPlayer,320.54315
SoftT4TPlayer,319.15878
NicePlayer,297.26056
FreakyPlayer,266.21518
RandomPlayer,257.76508
NastyPlayer,245.43132

SoftT4TPlayer,331.57996
HardT4TPlayer,327.36816
T4TPlayer,319.61157
TolerantPlayer,319.13803
WinStayLoseShift,318.7637
GrimTriggerPlayer,318.52148
NicePlayer,299.94843
FreakyPlayer,270.71094
NastyPlayer,259.75308
RandomPlayer,247.2787

GrimTriggerPlayer,343.0197
HardT4TPlayer,327.38718
TolerantPlayer,322.97433
WinStayLoseShift,319.71082
T4TPlayer,316.65186
SoftT4TPlayer,313.94025
NicePlayer,306.65332
FreakyPlayer,286.76532
RandomPlayer,252.58925
NastyPlayer,244.50533

GrimTriggerPlayer,337.48676
HardT4TPlayer,325.07812
T4TPlayer,323.64935
TolerantPlayer,323.3368
SoftT4TPlayer,314.00873
WinStayLoseShift,308.0588
NicePlayer,304.93695
FreakyPlayer,298.11185
NastyPlayer,251.1749
RandomPlayer,248.2681

GrimTriggerPlayer,343.9015
T4TPlayer,325.12094
SoftT4TPlayer,321.72882
TolerantPlayer,320.90387
HardT4TPlayer,319.1471
WinStayLoseShift,313.42377
FreakyPlayer,299.5468
NicePlayer,299.25574
NastyPlayer,258.80716
RandomPlayer,251.44505

HardT4TPlayer,328.2169
GrimTriggerPlayer,327.31134
TolerantPlayer,324.82935
WinStayLoseShift,316.86823
T4TPlayer,312.7798
SoftT4TPlayer,311.9475
NicePlayer,304.42715
FreakyPlayer,271.67682
RandomPlayer,255.16414
NastyPlayer,247.03732

TolerantPlayer,329.60455
GrimTriggerPlayer,325.75388
SoftT4TPlayer,315.68588
HardT4TPlayer,315.5265
T4TPlayer,314.97336
WinStayLoseShift,308.01282
NicePlayer,299.78827
FreakyPlayer,263.0433
RandomPlayer,254.19562
NastyPlayer,235.64653